PassengerId,Survived
892,0.11049409
893,0.6827095
894,0.098441474
895,0.11965853
896,0.7713578
897,0.33254635
898,0.48947775
899,0.1386512
900,0.85777855
901,0.08680857
902,0.11965853
903,0.16491483
904,0.90558124
905,0.10416487
906,0.9236959
907,0.8449217
908,0.14835595
909,0.13318351
910,0.47813106
911,0.7226151
912,0.13837066
913,0.62640214
914,0.8272066
915,0.305704
916,0.82747835
917,0.09544468
918,0.7922646
919,0.12824062
920,0.23102675
921,0.08198009
922,0.12980005
923,0.13822761
924,0.7138876
925,0.7859462
926,0.42679086
927,0.26296514
928,0.56550723
929,0.5259709
930,0.12278946
931,0.11965853
932,0.08080327
933,0.5287892
934,0.10292322
935,0.8623148
936,0.91905105
937,0.14481728
938,0.20996486
939,0.11965853
940,0.8990425
941,0.7399598
942,0.4663316
943,0.16771351
944,0.47792265
945,0.6889233
946,0.19763568
947,0.02158915
948,0.10991583
949,0.5905066
950,0.11143072
951,0.70547
952,0.16296826
953,0.17970501
954,0.19857676
955,0.589036
956,0.20133868
957,0.906104
958,0.61648804
959,0.16105117
960,0.4951351
961,0.6218214
962,0.57926905
963,0.13318351
964,0.55609137
965,0.59121865
966,0.7588458
967,0.35220486
968,0.11965853
969,0.8932059
970,0.1865808
971,0.51370573
972,0.49493048
973,0.19334558
974,0.15356243
975,0.11965853
976,0.19763568
977,0.10076613
978,0.5019649
979,0.61648804
980,0.5019649
981,0.81658685
982,0.85385096
983,0.11965853
984,0.86266154
985,0.11965853
986,0.22208613
987,0.14481728
988,0.82596624
989,0.13475412
990,0.6731836
991,0.12695545
992,0.9219909
993,0.15035956
994,0.11965853
995,0.17616169
996,0.7422102
997,0.1369361
998,0.13318351
999,0.11965853
1000,0.17182437
1001,0.6629479
1002,0.15128429
1003,0.56550723
1004,0.70940745
1005,0.5391205
1006,0.8490186
1007,0.1111036
1008,0.11965853
1009,0.9390745
1010,0.32815042
1011,0.8676447
1012,0.7711423
1013,0.10076613
1014,0.89451873
1015,0.1369361
1016,0.11965853
1017,0.59592474
1018,0.1574177
1019,0.34282112
1020,0.1324452
1021,0.1246858
1022,0.12881489
1023,0.7541397
1024,0.55005366
1025,0.11143072
